Date;Open;High;Low;Close;Volume
04/26/2021;11.25;11.39;11.24;11.248;12,845
04/23/2021;11.11;11.32;11.11;11.246;3,182
04/22/2021;11.066;11.15;11.066;11.15;1,923
04/21/2021;11.056;11.235;11.056;11.212;9,101
04/20/2021;11.282;11.282;11.08;11.212;88,344
04/19/2021;11.566;11.566;11.566;11.566;0
04/16/2021;11.506;11.566;11.484;11.566;3,812
04/15/2021;11.33;11.33;11.33;11.33;1,806
04/14/2021;11.42;11.42;11.315;11.315;3,807
04/13/2021;10.95;10.95;10.95;10.95;0
04/12/2021;10.95;10.95;10.95;10.95;247
04/09/2021;11.42;11.42;11.42;11.42;2,789
04/08/2021;11.258;11.258;11.258;11.258;530
04/07/2021;11.175;11.38;11.175;11.38;1,233
04/06/2021;11.1;11.1;11.054;11.07;7,648
04/05/2021;10.38;11.05;10.38;11.05;8,575
04/01/2021;11.125;11.125;11.125;11.125;235
03/31/2021;11.084;11.084;11.084;11.084;271
03/30/2021;11.022;11.022;11.022;11.022;466
03/29/2021;10.912;10.912;10.912;10.912;1,137
03/26/2021;11.01;11.04;11.01;11.04;386
03/25/2021;11.1999;11.1999;11.1999;11.1999;8,597
03/24/2021;11.808;11.808;11.745;11.745;401
03/23/2021;11.636;11.636;11.636;11.636;199
03/22/2021;11.635;11.635;11.635;11.635;0
03/19/2021;11.77;11.77;11.635;11.635;4,669
03/18/2021;11.78;11.78;11.67;11.765;1,369
03/17/2021;11.7244;11.7244;11.7244;11.7244;1,204
03/16/2021;11.52;11.52;11.52;11.52;0
03/15/2021;11.488;11.52;11.488;11.52;2,146
03/12/2021;11.465;11.465;11.465;11.465;0
03/11/2021;11.4346;11.465;11.4266;11.465;9,399
03/10/2021;11.499;11.499;11.499;11.499;0
03/09/2021;11.4133;11.499;11.4133;11.499;2,794
03/08/2021;11.7;11.7;11.306;11.306;3,044
03/05/2021;11.074;11.104;11.074;11.104;627
03/04/2021;11.45;11.45;11.0454;11.08;26,984
03/03/2021;10.91;10.9232;10.91;10.9202;93,370
03/02/2021;10.9;10.9;10.85;10.85;4,194
03/01/2021;10.688;10.688;10.688;10.688;348
02/26/2021;10.7;10.7;10.7;10.7;3,312
02/25/2021;10.812;10.812;10.812;10.812;0
02/24/2021;10.904;10.904;10.812;10.812;1,033
02/23/2021;10.5;10.5;10.5;10.5;0
02/22/2021;10.5;10.5;10.5;10.5;0
02/19/2021;10.56;10.58;10.5;10.5;3,196
02/18/2021;10.46;10.54;10.46;10.54;400
02/17/2021;10.27;10.27;10.27;10.27;1,636
02/16/2021;10.27;10.27;10.27;10.27;285
02/12/2021;10.2;10.2;10.14;10.14;1,616
02/11/2021;10.2064;10.248;10.1829;10.232;136,602
02/10/2021;10.21;10.21;10.17;10.17;938
02/09/2021;10.026;10.026;10.026;10.026;100
02/08/2021;9.775;10.23;9.775;10.23;401
02/05/2021;10.0055;10.0055;10.0055;10.0055;6,287
02/04/2021;9.76;9.76;9.76;9.76;0
02/03/2021;9.76;9.76;9.76;9.76;0
02/02/2021;9.76;9.76;9.76;9.76;0
02/01/2021;9.778;9.778;9.76;9.76;913
01/29/2021;10.114;10.114;10.114;10.114;573
01/28/2021;10.334;10.334;10.334;10.334;0
01/27/2021;10.334;10.334;10.334;10.334;0
01/26/2021;10.334;10.334;10.334;10.334;1,068
01/25/2021;10.35;10.35;10.144;10.144;1,498
01/22/2021;10.4;10.4;10.4;10.4;508
01/21/2021;10.435;10.435;10.435;10.435;0
01/20/2021;10.436;10.436;10.435;10.435;708
01/19/2021;10.61;10.61;10.5;10.5;10,184
01/15/2021;10.284;10.284;10.26;10.26;1,158
01/14/2021;10.27;10.27;10.27;10.27;0
01/13/2021;10.27;10.27;10.27;10.27;1,055
01/12/2021;10.298;10.298;10.298;10.298;560
01/11/2021;10.24;10.24;10.05;10.05;3,949
01/08/2021;10.3;10.3522;10.205;10.24;17,664
01/07/2021;10.16;10.16;10.16;10.16;0
01/06/2021;10.1;10.16;10.1;10.16;702
01/05/2021;10.035;10.035;10.035;10.035;110
01/04/2021;9.98;9.98;9.98;9.98;809
12/31/2020;10.05;10.05;10.05;10.05;1,118
12/30/2020;10.1;10.16;10.1;10.16;399
12/29/2020;10.15;10.25;10.05;10.05;6,055
12/28/2020;10.05;10.05;10.05;10.05;0
12/24/2020;9.75;10.05;9.75;10.05;670
12/23/2020;9.91;9.91;9.91;9.91;3,711
12/22/2020;9.8;9.804;9.745;9.804;915
12/21/2020;9.75;9.9;9.75;9.9;958
12/18/2020;10.12;10.12;10.12;10.12;571
12/17/2020;9.91;9.95;9.89;9.922;651
12/16/2020;10.03;10.03;10.03;10.03;0
12/15/2020;9.82;10.03;9.82;10.03;1,300
12/14/2020;9.95;9.95;9.8;9.94;5,143
12/11/2020;9.79;9.94;9.74;9.815;4,230
12/10/2020;10.05;10.104;9.86;10.045;1,218,896
12/09/2020;10.302;10.302;10.01;10.048;6,637
12/08/2020;10.3;10.35;10.1;10.11;19,252
12/07/2020;10.445;10.445;10.31;10.338;15,757
12/04/2020;10.52;10.52;10.35;10.39;4,760
12/03/2020;10.444;10.59;10.4;10.56;20,457
12/02/2020;10.37;10.48;10.3;10.42;10,538
12/01/2020;10.362;10.362;10.246;10.338;31,537
11/30/2020;10.45;10.45;10.14;10.14;11,968
11/27/2020;10.5;10.5;10.377;10.46;4,057
11/25/2020;10.45;10.46;10.3;10.4;12,390
11/24/2020;10.15;10.35;10.128;10.31;80,863
11/23/2020;9.91;10;9.856;9.856;254,561
11/20/2020;9.922;9.999;9.8;9.84;7,785
11/19/2020;9.904;9.944;9.832;9.928;6,386
11/18/2020;9.77;10.01;9.77;9.89;16,731
11/17/2020;9.885;9.945;9.765;9.779;9,746
